Player,Pos,Opp,Pts,Pass_Att,Cmp,Pass_Yds,Pass_TD,Int,Pass_2Pt,Rush_Att,Rush_Yds,Rush_TD,Rush_2Pt,Rec,Rec_Yds,Rec_TD,Rec_2Pt,FL,TD,Week,
Jaleel McLaughlin,RB,@ NYJ,0.00,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,
Raheem Mostert,RB,vs TEN,0.00,0,0,0,0,0,0,5,-4,0,0,0,0,0,0,0,0,6,
Adam Prentice,RB,@ NYJ,0.00,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,6,
Mason Rudolph,QB,vs CLE,0.00,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,
Tyrone Tracy,RB,vs PHI,0.00,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,6,
Savion Williams,WR,vs CIN,0.00,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,6,
Russell Wilson,QB,vs PHI,0.00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
Cooper Rush,QB,vs LA,-1.00,19,11,72,0,1,0,1,0,0,0,0,0,0,0,1,0,6,
Bo Nix,QB,vs NYG,43.00,50,27,279,2,0,2,5,48,2,0,0,0,0,0,0,0,7,
Ja'Marr Chase,WR,vs PIT,38.00,0,0,0,0,0,0,0,0,0,0,16,161,1,0,0,0,7,
Christian McCaffrey,RB,vs ATL,38.00,0,0,0,0,0,0,24,129,2,0,7,72,0,0,0,0,7,
Matthew Stafford,QB,@ JAX,37.00,33,21,182,5,0,0,2,1,0,0,0,0,0,0,0,0,7,
Jahmyr Gibbs,RB,vs TB,36.00,0,0,0,0,0,0,17,136,2,0,3,82,0,0,0,0,7,
Jaxson Dart,QB,@ DEN,34.00,33,15,283,3,1,0,5,11,1,0,0,0,0,0,0,0,7,
Justin Herbert,QB,vs IND,33.00,55,37,420,3,2,0,6,31,0,0,0,0,0,0,0,0,7,
DeVonta Smith,WR,@ MIN,33.00,0,0,0,0,0,0,0,0,0,0,9,183,1,0,0,0,7,
Jonathan Taylor,RB,@ LAC,33.00,0,0,0,0,0,0,16,94,3,0,3,38,0,0,0,0,7,
Joe Flacco,QB,vs PIT,31.00,47,31,342,3,0,0,5,3,0,0,0,0,0,0,0,0,7,
Jalen Hurts,QB,@ MIN,31.00,23,19,326,3,0,0,4,-10,0,0,0,0,0,0,0,0,7,
Patrick Mahomes,QB,vs LV,31.00,35,26,286,3,0,0,4,28,0,0,0,0,0,0,0,0,7,
Oronde Gadsden,TE,vs IND,29.00,0,0,0,0,0,0,0,0,0,0,7,164,1,0,0,0,7,
Trey McBride,TE,vs GB,29.00,0,0,0,0,0,0,0,0,0,0,10,74,2,0,0,0,7,
Aaron Rodgers,QB,@ CIN,29.00,34,23,249,4,2,0,1,6,0,0,0,0,0,0,0,0,7,
Keenan Allen,WR,vs IND,28.00,0,0,0,0,0,0,0,0,0,0,11,119,1,0,0,0,7,
A.J. Brown,WR,@ MIN,28.00,0,0,0,0,0,0,0,0,0,0,4,121,2,0,0,0,7,
Pat Freiermuth,TE,@ CIN,28.00,0,0,0,0,0,0,0,0,0,0,5,111,2,0,0,0,7,
Dak Prescott,QB,vs WAS,28.00,30,21,264,3,0,0,5,7,0,0,0,0,0,0,0,0,7,
Davante Adams,WR,@ JAX,26.00,0,0,0,0,0,0,0,0,0,0,5,35,3,0,0,0,7,
Quinshon Judkins,RB,vs MIA,26.00,0,0,0,0,0,0,25,84,3,0,0,0,0,0,0,0,7,
Drake Maye,QB,@ TEN,26.00,23,21,222,2,0,0,8,62,0,0,0,0,0,0,0,0,7,
Chris Olave,WR,@ CHI,26.00,0,0,0,0,0,0,0,0,0,0,5,98,2,0,0,0,7,
Jaxon Smith-Njigba,WR,vs HOU,26.00,0,0,0,0,0,0,0,0,0,0,8,123,1,0,0,0,7,
Daniel Jones,QB,@ LAC,25.00,34,23,288,2,0,1,5,7,0,0,0,0,0,0,0,0,7,
Jacoby Brissett,QB,vs GB,24.00,36,25,279,2,0,0,6,26,0,0,0,0,0,0,1,0,7,
Travis Hunter,WR/DB,vs LA,24.00,0,0,0,0,0,0,1,0,0,0,8,101,1,0,0,0,7,
Xavier Legette,WR,@ NYJ,24.00,0,0,0,0,0,0,0,0,0,0,9,92,1,0,0,0,7,
Rashee Rice,WR,vs LV,23.00,0,0,0,0,0,0,0,0,0,0,7,42,2,0,0,0,7,
CeeDee Lamb,WR,vs WAS,22.00,0,0,0,0,0,0,0,0,0,0,5,110,1,0,0,0,7,
Jordan Addison,WR,vs PHI,21.00,0,0,0,0,0,0,0,0,0,0,9,128,0,0,0,0,7,
Jake Ferguson,TE,vs WAS,21.00,0,0,0,0,0,0,0,0,0,0,7,29,2,0,0,0,7,
Tee Higgins,WR,vs PIT,21.00,0,0,0,0,0,0,0,0,0,0,6,96,1,0,0,0,7,
Bijan Robinson,RB,@ SF,21.00,0,0,0,0,0,0,14,40,0,0,6,52,1,0,0,0,7,
Jayden Daniels,QB,@ DAL,20.00,22,12,156,1,0,0,8,35,1,0,0,0,0,0,1,0,7,
Michael Pittman,WR,@ LAC,20.00,0,0,0,0,0,0,0,0,0,0,7,58,1,1,0,0,7,
Amon-Ra St.,WR,vs TB,20.00,0,0,0,0,0,0,0,0,0,0,6,86,1,0,0,0,7,
D'Andre Swift,RB,vs NO,20.00,0,0,0,0,0,0,19,124,1,0,1,14,0,0,0,0,7,
Jaylen Warren,RB,@ CIN,19.00,0,0,0,0,0,0,16,127,0,0,4,31,0,0,0,0,7,
Zach Charbonnet,RB,vs HOU,18.00,0,0,0,0,0,0,12,49,2,0,2,6,0,0,0,0,7,
Josh Jacobs,RB,@ ARI,18.00,0,0,0,0,0,0,13,55,2,0,1,3,0,0,0,0,7,
Trevor Lawrence,QB,vs LA,18.00,48,23,296,1,0,0,2,18,0,0,0,0,0,0,0,0,7,
Dalton Schultz,TE,@ SEA,18.00,0,0,0,0,0,0,0,0,0,0,9,98,0,0,0,0,7,
Cam Skattebo,RB,@ DEN,18.00,0,0,0,0,0,0,16,60,0,0,3,34,1,0,0,0,7,
Javonte Williams,RB,vs WAS,18.00,0,0,0,0,0,0,19,116,1,0,1,2,0,0,0,0,7,
Daniel Bellinger,TE,@ DEN,17.00,0,0,0,0,0,0,0,0,0,0,3,88,1,0,0,0,7,
Chimere Dike,WR,vs NE,17.00,0,0,0,0,0,0,1,-1,0,0,4,70,1,0,0,0,7,
Kyle Monangai,RB,vs NO,17.00,0,0,0,0,0,0,13,81,1,0,2,13,0,0,0,0,7,
Tucker Kraft,TE,@ ARI,16.00,0,0,0,0,0,0,0,0,0,0,5,58,1,0,0,0,7,
Rhamondre Stevenson,RB,@ TEN,16.00,0,0,0,0,0,0,18,88,1,0,2,0,0,0,0,0,7,
Courtland Sutton,WR,vs NYG,16.00,0,0,0,0,0,0,0,0,0,0,6,87,0,1,0,0,7,
Tyler Warren,TE,@ LAC,16.00,0,0,0,0,0,0,0,0,0,0,4,69,1,0,0,0,7,
Tez Johnson,WR,@ DET,15.00,0,0,0,0,0,0,0,0,0,0,4,58,1,0,0,0,7,
Theo Johnson,TE,@ DEN,15.00,0,0,0,0,0,0,0,0,0,0,3,66,1,0,0,0,7,
Jordan Love,QB,@ ARI,15.00,29,19,179,1,0,0,4,22,0,0,0,0,0,0,0,0,7,
Ladd McConkey,WR,vs IND,15.00,0,0,0,0,0,0,0,0,0,0,9,67,0,0,0,0,7,
Marvin Mims,WR,vs NYG,15.00,0,0,0,0,0,0,1,13,0,0,6,85,0,0,0,0,7,
Spencer Rattler,QB,@ CHI,15.00,32,20,233,2,3,0,2,12,0,0,0,0,0,0,1,0,7,
Wan'Dale Robinson,WR,@ DEN,15.00,0,0,0,0,0,0,0,0,0,0,6,95,0,0,0,0,7,
C.J. Stroud,QB,@ SEA,15.00,49,23,229,1,1,0,2,25,0,0,0,0,0,0,0,0,7,
Noah Fant,TE,vs PIT,14.00,0,0,0,0,0,0,0,0,0,0,4,44,1,0,0,0,7,
Michael Penix,QB,@ SF,14.00,38,21,241,1,0,0,2,6,0,0,0,0,0,0,1,0,7,
Alec Pierce,WR,@ LAC,14.00,0,0,0,0,0,0,0,0,0,0,5,98,0,0,0,0,7,
Kayshon Boutte,WR,@ TEN,13.00,0,0,0,0,0,0,0,0,0,0,2,55,1,0,0,0,7,
Stefon Diggs,WR,@ TEN,13.00,0,0,0,0,0,0,0,0,0,0,7,69,0,0,0,0,7,
Romeo Doubs,WR,@ ARI,13.00,0,0,0,0,0,0,0,0,0,0,6,72,0,0,0,0,7,
Baker Mayfield,QB,@ DET,13.00,50,28,228,1,1,0,0,0,0,0,0,0,0,0,0,0,7,
Cade Otton,TE,@ DET,13.00,0,0,0,0,0,0,0,0,0,0,7,65,0,0,0,0,7,
Kyle Pitts,TE,@ SF,13.00,0,0,0,0,0,0,0,0,0,0,7,62,0,0,0,0,7,
Cameron Ward,QB,vs NE,13.00,34,25,255,1,1,0,0,0,0,0,0,0,0,0,1,0,7,
De'Von Achane,RB,@ CLE,12.00,0,0,0,0,0,0,13,82,0,0,3,16,0,0,0,0,7,
Chase Brown,RB,vs PIT,12.00,0,0,0,0,0,0,11,108,0,0,2,-8,0,0,0,0,7,
Zach Ertz,TE,@ DAL,12.00,0,0,0,0,0,0,0,0,0,0,3,37,1,0,0,0,7,
Troy Franklin,WR,vs NYG,12.00,0,0,0,0,0,0,0,0,0,0,3,19,1,1,0,0,7,
Jared Goff,QB,vs TB,12.00,29,20,241,1,1,0,2,7,0,0,0,0,0,0,1,0,7,
Justin Jefferson,WR,vs PHI,12.00,0,0,0,0,0,0,0,0,0,0,5,79,0,0,0,0,7,
Juwan Johnson,TE,@ CHI,12.00,0,0,0,0,0,0,0,0,0,0,5,79,0,0,0,0,7,
Jo'quavious Marks,RB,@ SEA,12.00,0,0,0,0,0,0,10,15,0,0,3,20,1,0,0,0,7,
Isiah Pacheco,RB,vs LV,12.00,0,0,0,0,0,0,15,57,1,0,1,-3,0,0,0,0,7,
George Pickens,WR,vs WAS,12.00,0,0,0,0,0,0,0,0,0,0,4,82,0,0,0,0,7,
Brashard Smith,RB,vs LV,12.00,0,0,0,0,0,0,14,39,0,0,5,42,0,0,0,0,7,
Bryce Young,QB,@ NYJ,12.00,25,15,138,1,0,0,2,10,0,0,0,0,0,0,0,0,7,
Sam Darnold,QB,vs HOU,11.00,31,17,213,1,1,0,3,1,0,0,0,0,0,0,1,0,7,
Quentin Johnston,WR,vs IND,11.00,0,0,0,0,0,0,0,0,0,0,2,30,1,0,0,0,7,
Jordan Mason,RB,vs PHI,11.00,0,0,0,0,0,0,15,57,1,0,0,0,0,0,0,0,7,
Jaylin Noel,WR,@ SEA,11.00,0,0,0,0,0,0,0,0,0,0,4,77,0,0,0,0,7,
Tony Pollard,RB,vs NE,11.00,0,0,0,0,0,0,6,18,0,0,6,43,0,0,0,0,7,
Jonnu Smith,TE,@ CIN,11.00,0,0,0,0,0,0,0,0,0,0,3,28,1,0,0,0,7,
Terrance Ferguson,TE,@ JAX,10.00,0,0,0,0,0,0,0,0,0,0,1,31,1,0,0,0,7,
T.J. Hockenson,TE,vs PHI,10.00,0,0,0,0,0,0,0,0,0,0,6,43,0,0,0,0,7,
Tyrone Tracy,RB,@ DEN,10.00,0,0,0,0,0,0,9,46,1,0,0,0,0,0,0,0,7,
Parker Washington,WR,vs LA,10.00,0,0,0,0,0,0,3,10,0,0,4,52,0,0,0,0,7,
Carson Wentz,QB,vs PHI,10.00,42,26,313,0,2,0,4,28,0,0,0,0,0,0,0,0,7,
Marquise Brown,WR,vs LV,9.00,0,0,0,0,0,0,0,0,0,0,2,14,1,0,0,0,7,
J.K. Dobbins,RB,vs NYG,9.00,0,0,0,0,0,0,14,81,0,0,1,-1,0,0,0,0,7,
Rico Dowdle,RB,@ NYJ,9.00,0,0,0,0,0,0,17,79,0,0,1,17,0,0,0,0,7,
Emeka Egbuka,WR,@ DET,9.00,0,0,0,0,0,0,0,0,0,0,4,58,0,0,0,0,7,
Evan Engram,TE,vs NYG,9.00,0,0,0,0,0,0,0,0,0,0,5,42,0,0,0,0,7,
Austin Hooper,TE,@ TEN,9.00,0,0,0,0,0,0,0,0,0,0,2,11,1,0,0,0,7,
Tyler Johnson,WR,vs CAR,9.00,0,0,0,0,0,0,0,0,0,0,3,60,0,0,0,0,7,
Jaylin Lane,WR,@ DAL,9.00,0,0,0,0,0,0,0,0,0,0,3,60,0,0,0,0,7,
Darnell Mooney,WR,@ SF,9.00,0,0,0,0,0,0,0,0,0,0,3,68,0,0,0,0,7,
Darnell Washington,TE,@ CIN,9.00,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,7,
Van Jefferson,WR,vs NE,8.00,0,0,0,0,0,0,0,0,0,0,4,41,0,0,0,0,7,
Zay Jones,WR,vs GB,8.00,0,0,0,0,0,0,0,0,0,0,2,67,0,0,0,0,7,
Travis Kelce,TE,vs LV,8.00,0,0,0,0,0,0,0,0,0,0,3,54,0,0,0,0,7,
Zonovan Knight,RB,vs GB,8.00,0,0,0,0,0,0,14,57,0,0,3,7,0,0,0,0,7,
Drake London,WR,@ SF,8.00,0,0,0,0,0,0,0,0,0,0,4,42,0,0,0,0,7,
D.K. Metcalf,WR,@ CIN,8.00,0,0,0,0,0,0,0,0,0,0,3,50,0,0,0,0,7,
Rashid Shaheed,WR,@ CHI,8.00,0,0,0,0,0,0,0,0,0,0,4,40,0,0,0,0,7,
Sterling Shepard,WR,@ DET,8.00,0,0,0,0,0,0,0,0,0,0,7,25,0,0,1,0,7,
Tre Tucker,WR,@ KC,8.00,0,0,0,0,0,0,0,0,0,0,5,33,0,0,0,0,7,
Malik Washington,WR,@ CLE,8.00,0,0,0,0,0,0,0,0,0,0,5,30,0,0,0,0,7,
Kyren Williams,RB,@ JAX,8.00,0,0,0,0,0,0,12,54,0,0,2,11,0,0,0,0,7,
Elijah Arroyo,TE,vs HOU,7.00,0,0,0,0,0,0,0,0,0,0,4,42,0,0,1,0,7,
Dyami Brown,WR,vs LA,7.00,0,0,0,0,0,0,0,0,0,0,2,50,0,0,0,0,7,
Robbie Chosen,WR,@ DAL,7.00,0,0,0,0,0,0,0,0,0,0,4,36,0,0,0,0,7,
Harold Fannin,TE,vs MIA,7.00,0,0,0,0,0,0,0,0,0,0,4,36,0,0,0,0,7,
Matthew Golden,WR,@ ARI,7.00,0,0,0,0,0,0,0,0,0,0,4,37,0,0,0,0,7,
Marvin Harrison,WR,vs GB,7.00,0,0,0,0,0,0,0,0,0,0,2,58,0,0,0,0,7,
RJ Harvey,RB,vs NYG,7.00,0,0,0,0,0,0,4,0,0,0,1,2,1,0,0,0,7,
Gunnar Helm,TE,vs NE,7.00,0,0,0,0,0,0,0,0,0,0,4,36,0,0,0,0,7,
Hunter Henry,TE,@ TEN,7.00,0,0,0,0,0,0,0,0,0,0,4,33,0,0,0,0,7,
Chuba Hubbard,RB,@ NYJ,7.00,0,0,0,0,0,0,14,31,0,0,2,24,0,0,0,0,7,
Andrei Iosivas,WR,vs PIT,7.00,0,0,0,0,0,0,0,0,0,0,3,49,0,0,0,0,7,
Jauan Jennings,WR,vs ATL,7.00,0,0,0,0,0,0,0,0,0,0,4,31,0,0,0,0,7,
Chris Moore,WR,@ DAL,7.00,0,0,0,0,0,0,0,0,0,0,2,59,0,0,0,0,7,
D.J. Moore,WR,vs NO,7.00,0,0,0,0,0,0,1,9,0,0,3,43,0,0,0,0,7,
Konata Mumpfield,WR,@ JAX,7.00,0,0,0,0,0,0,0,0,0,0,1,5,1,0,0,0,7,
Colby Parkinson,TE,@ JAX,7.00,0,0,0,0,0,0,0,0,0,0,3,47,0,0,0,0,7,
Christopher Rodriguez,RB,@ DAL,7.00,0,0,0,0,0,0,3,12,1,0,0,0,0,0,0,0,7,
Kimani Vidal,RB,vs IND,7.00,0,0,0,0,0,0,9,20,0,0,4,15,0,0,0,0,7,
Rachaad White,RB,@ DET,7.00,0,0,0,0,0,0,10,38,0,0,4,6,0,0,0,0,7,
Michael Wilson,WR,vs GB,7.00,0,0,0,0,0,0,0,0,0,0,3,40,0,0,0,0,7,
Xavier Worthy,WR,vs LV,7.00,0,0,0,0,0,0,1,13,0,0,3,35,0,0,0,0,7,
Nico Collins,WR,@ SEA,6.00,0,0,0,0,0,0,0,0,0,0,4,27,0,0,0,0,7,
Travis Etienne,RB,vs LA,6.00,0,0,0,0,0,0,8,44,0,0,1,11,0,0,0,0,7,
Breece Hall,RB,vs CAR,6.00,0,0,0,0,0,0,11,38,0,0,2,14,0,0,0,0,7,
Mack Hollins,WR,@ TEN,6.00,0,0,0,0,0,0,1,4,0,0,2,49,0,0,0,0,7,
Tetairoa McMillan,WR,@ NYJ,6.00,0,0,0,0,0,0,0,0,0,0,3,33,0,0,0,0,7,
Jeremy McNichols,RB,@ DAL,6.00,0,0,0,0,0,0,2,22,0,0,2,23,0,0,0,0,7,
JuJu Smith-Schuster,WR,vs LV,6.00,0,0,0,0,0,0,0,0,0,0,3,35,0,0,0,0,7,
Tyjae Spears,RB,vs NE,6.00,0,0,0,0,0,0,5,22,0,0,3,18,0,0,0,0,7,
Mason Taylor,TE,vs CAR,6.00,0,0,0,0,0,0,0,0,0,0,3,31,0,0,0,0,7,
Brian Thomas,WR,vs LA,6.00,0,0,0,0,0,0,0,0,0,0,3,31,0,0,0,0,7,
Kenneth Walker,RB,vs HOU,6.00,0,0,0,0,0,0,17,66,0,0,0,0,0,0,0,0,7,
Saquon Barkley,RB,@ MIN,5.00,0,0,0,0,0,0,18,44,0,0,1,-2,0,0,0,0,7,
Michael Carter,RB,vs GB,5.00,0,0,0,0,0,0,7,11,0,0,2,25,0,0,0,0,7,
Isaiah Davis,RB,vs CAR,5.00,0,0,0,0,0,0,2,10,0,0,2,22,0,0,0,0,7,
D'Wayne Eskridge,WR,@ CLE,5.00,0,0,0,0,0,0,0,0,0,0,2,45,0,0,1,0,7,
Dillon Gabriel,QB,vs MIA,5.00,18,13,116,0,0,0,4,12,0,0,0,0,0,0,0,0,7,
Mac Jones,QB,vs ATL,5.00,26,17,152,0,1,0,5,11,0,0,0,0,0,0,0,0,7,
Alvin Kamara,RB,@ CHI,5.00,0,0,0,0,0,0,11,28,0,0,3,1,0,0,0,0,7,
Colston Loveland,TE,vs NO,5.00,0,0,0,0,0,0,0,0,0,0,3,24,0,0,0,0,7,
David Montgomery,RB,vs TB,5.00,0,0,0,0,0,0,13,21,0,0,2,18,0,0,0,0,7,
Jalen Nailor,WR,vs PHI,5.00,0,0,0,0,0,0,0,0,0,0,2,37,0,0,0,0,7,
Rome Odunze,WR,vs NO,5.00,0,0,0,0,0,0,0,0,0,0,2,31,0,0,0,0,7,
Josh Reynolds,WR,vs CAR,5.00,0,0,0,0,0,0,0,0,0,0,3,29,0,0,0,0,7,
Brock Wright,TE,vs TB,5.00,0,0,0,0,0,0,0,0,0,0,3,23,0,0,0,0,7,
Nate Adkins,TE,vs NYG,4.00,0,0,0,0,0,0,0,0,0,0,2,20,0,0,0,0,7,
Elic Ayomanor,WR,vs NE,4.00,0,0,0,0,0,0,0,0,0,0,2,29,0,0,0,0,7,
Blake Corum,RB,@ JAX,4.00,0,0,0,0,0,0,12,37,0,0,1,6,0,0,0,0,7,
Jacory Croskey-Merritt,RB,@ DAL,4.00,0,0,0,0,0,0,13,33,0,0,1,-1,0,0,0,0,7,
Demario Douglas,WR,@ TEN,4.00,0,0,0,0,0,0,0,0,0,0,3,17,0,0,0,0,7,
Mitchell Evans,TE,@ NYJ,4.00,0,0,0,0,0,0,0,0,0,0,2,24,0,0,0,0,7,
Dallas Goedert,TE,@ MIN,4.00,0,0,0,0,0,0,0,0,0,0,3,18,0,0,0,0,7,
Tre Harris,WR,vs IND,4.00,0,0,0,0,0,0,0,0,0,0,2,23,0,0,0,0,7,
Tyler Higbee,TE,@ JAX,4.00,0,0,0,0,0,0,0,0,0,0,3,19,0,0,0,0,7,
Ashton Jeanty,RB,@ KC,4.00,0,0,0,0,0,0,6,21,0,0,1,13,0,0,0,0,7,
Sam LaPorta,TE,vs TB,4.00,0,0,0,0,0,0,0,0,0,0,3,15,0,0,0,0,7,
Kalif Raymond,WR,vs TB,4.00,0,0,0,0,0,0,0,0,0,0,3,17,0,0,0,0,7,
Tyquan Thornton,WR,vs LV,4.00,0,0,0,0,0,0,0,0,0,0,1,39,0,0,0,0,7,
Nick Westbrook,WR,@ CLE,4.00,0,0,0,0,0,0,0,0,0,0,3,16,0,0,0,0,7,
Caleb Williams,QB,vs NO,4.00,26,15,172,0,1,0,4,-2,0,0,0,0,0,0,0,0,7,
Tyler Badie,RB,vs NYG,3.00,0,0,0,0,0,0,0,0,0,0,2,19,0,0,0,0,7,
Jack Bech,WR,@ KC,3.00,0,0,0,0,0,0,0,0,0,0,2,13,0,0,0,0,7,
Jaydon Blue,RB,vs WAS,3.00,0,0,0,0,0,0,7,29,0,0,1,5,0,0,0,0,7,
Kendrick Bourne,WR,vs ATL,3.00,0,0,0,0,0,0,0,0,0,0,2,14,0,0,0,0,7,
Luther Burden,WR,vs NO,3.00,0,0,0,0,0,0,1,-1,0,0,1,22,0,0,0,0,7,
Tanner Conner,TE,@ CLE,3.00,0,0,0,0,0,0,0,0,0,0,1,28,0,0,0,0,7,
Malachi Corley,WR,vs MIA,3.00,0,0,0,0,0,0,0,0,0,0,2,17,0,0,0,0,7,
Justin Fields,QB,vs CAR,3.00,12,6,46,0,0,0,4,22,0,0,0,0,0,0,0,0,7,
Jerome Ford,RB,vs MIA,3.00,0,0,0,0,0,0,1,0,0,0,2,10,0,0,0,0,7,
Kenny Gainwell,RB,@ CIN,3.00,0,0,0,0,0,0,3,14,0,0,2,1,0,0,0,0,7,
Noah Gray,TE,vs LV,3.00,0,0,0,0,0,0,0,0,0,0,1,28,0,0,0,0,7,
Taysom Hill,QB,@ CHI,3.00,0,0,0,0,0,0,2,-4,0,0,2,12,0,0,0,0,7,
Jerry Jeudy,WR,vs MIA,3.00,0,0,0,0,0,0,0,0,0,0,2,17,0,0,0,0,7,
Allen Lazard,WR,vs CAR,3.00,0,0,0,0,0,0,0,0,0,0,2,16,0,0,0,0,7,
Tyler Lockett,WR,@ TEN,3.00,0,0,0,0,0,0,0,0,0,0,2,18,0,0,0,0,7,
Hunter Long,TE,vs LA,3.00,0,0,0,0,0,0,0,0,0,0,2,16,0,0,0,0,7,
Marcus Mariota,QB,@ DAL,3.00,10,4,63,0,1,0,2,34,0,0,0,0,0,0,0,0,7,
Tim Patrick,WR,vs LA,3.00,0,0,0,0,0,0,0,0,0,0,1,22,0,0,0,0,7,
Samaje Perine,RB,vs PIT,3.00,0,0,0,0,0,0,7,31,0,0,0,0,0,0,0,0,7,
Brian Robinson,RB,vs ATL,3.00,0,0,0,0,0,0,9,36,0,0,0,0,0,0,0,0,7,
Xavier Smith,WR,@ JAX,3.00,0,0,0,0,0,0,0,0,0,0,2,15,0,0,0,0,7,
Jamari Thrash,WR,vs MIA,3.00,0,0,0,0,0,0,0,0,0,0,1,23,0,0,0,0,7,
Roman Wilson,WR,@ CIN,3.00,0,0,0,0,0,0,0,0,0,0,2,17,0,0,0,0,7,
Ameer Abdullah,RB,@ LAC,2.00,0,0,0,0,0,0,2,19,0,0,1,8,0,0,0,0,7,
Cartavious Bigsby,RB,@ MIN,2.00,0,0,0,0,0,0,1,11,0,0,1,-1,0,0,0,0,7,
Nick Chubb,RB,@ SEA,2.00,0,0,0,0,0,0,5,16,0,0,1,-5,0,0,0,0,7,
Andy Dalton,QB,@ NYJ,2.00,7,4,60,0,0,0,2,-2,0,0,0,0,0,0,0,0,7,
Greg Dortch,WR,vs GB,2.00,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,7,
Quinn Ewers,QB,@ CLE,2.00,8,5,53,0,0,0,1,0,0,0,0,0,0,0,0,0,7,
Luke Farrell,TE,vs ATL,2.00,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0,7,
Ollie Gordon,RB,@ CLE,2.00,0,0,0,0,0,0,5,11,0,0,1,2,0,0,0,0,7,
Hassan Haskins,RB,vs IND,2.00,0,0,0,0,0,0,1,3,0,0,2,2,0,0,0,0,7,
Xavier Hutchinson,WR,@ SEA,2.00,0,0,0,0,0,0,0,0,0,0,1,13,0,0,0,0,7,
Kyle Juszczyk,RB,vs ATL,2.00,0,0,0,0,0,0,1,-2,0,0,1,10,0,0,0,0,7,
Cole Kmet,TE,vs NO,2.00,0,0,0,0,0,0,0,0,0,0,1,16,0,0,0,0,7,
Cooper Kupp,WR,vs HOU,2.00,1,0,0,0,1,0,0,0,0,0,1,32,0,0,0,0,7,
Michael Mayer,TE,@ KC,2.00,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,7,
Ryan Miller,WR,@ DET,2.00,0,0,0,0,0,0,0,0,0,0,1,14,0,0,0,0,7,
Skyy Moore,WR,vs ATL,2.00,0,0,0,0,0,0,0,0,0,0,1,15,0,0,0,0,7,
Geno Smith,QB,@ KC,2.00,16,10,67,0,0,0,2,1,0,0,0,0,0,0,0,0,7,
Tyrod Taylor,QB,vs CAR,2.00,22,10,126,0,2,0,3,11,0,0,0,0,0,0,0,0,7,
Adam Thielen,WR,vs PHI,2.00,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,7,
Jalen Tolbert,WR,vs WAS,2.00,0,0,0,0,0,0,0,0,0,0,1,16,0,0,0,0,7,
KaVontae Turpin,WR,vs WAS,2.00,0,0,0,0,0,0,0,0,0,0,1,17,0,0,0,0,7,
Bhayshul Tuten,RB,vs LA,2.00,0,0,0,0,0,0,5,22,0,0,0,0,0,0,0,0,7,
Jaylen Waddle,WR,@ CLE,2.00,0,0,0,0,0,0,0,0,0,0,1,15,0,0,0,0,7,
Casey Washington,WR,@ SF,2.00,0,0,0,0,0,0,0,0,0,0,1,17,0,0,0,0,7,
Jordan Whittington,WR,@ JAX,2.00,0,0,0,0,0,0,0,0,0,0,2,9,0,0,0,0,7,
Emanuel Wilson,RB,@ ARI,2.00,0,0,0,0,0,0,6,17,0,0,1,-2,0,0,0,0,7,
Olamide Zaccheaus,WR,vs NO,2.00,0,0,0,0,0,0,1,0,0,0,2,9,0,0,0,0,7,
Mo Alie-Cox,TE,@ LAC,1.00,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,7,
Davis Allen,TE,@ JAX,1.00,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,7,
LeQuint Allen,RB,vs LA,1.00,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,7,
Tyler Allgeier,RB,@ SF,1.00,0,0,0,0,0,0,4,16,0,0,0,0,0,0,0,0,7,
AJ Barner,TE,vs HOU,1.00,0,0,0,0,0,0,1,2,0,0,1,7,0,0,0,0,7,
John Bates,TE,@ DAL,1.00,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,7,
Braxton Berrios,WR,@ SEA,1.00,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,7,
Jake Bobo,WR,vs HOU,1.00,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,7,
Pat Bryant,WR,vs NYG,1.00,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,7,
Brandin Cooks,WR,@ CHI,1.00,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,7,
John FitzPatrick,TE,@ ARI,1.00,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,7,
Anthony Gould,WR,@ LAC,1.00,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,7,
C.J. Ham,RB,vs PHI,1.00,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,7,
