Zach Wilson,MIA,QB,26,2,0,6,9,32,0,0,1,3,3.00,0,0,0,0,NULL,0,0,0,0,NULL,NULL,
Jacardia Wright,SEA,RB,25,1,0,0,0,0,0,0,5,20,4.00,0,0,0,0,NULL,0,0,0,0,NULL,NULL,
Colson Yankoff,WAS,TE,25,10,0,0,0,0,0,0,0,0,NULL,0,2,2,18,9.00,0,0,0,0,NULL,NULL,
Andre Baccellia,ARI,WR,28,3,0,0,0,0,0,0,0,0,NULL,0,1,1,5,5.00,0,0,0,0,NULL,NULL,
Alex Bachman,LVR,WR,29,9,0,0,0,0,0,0,0,0,NULL,0,2,1,9,9.00,0,0,0,0,NULL,NULL,
Harrison Bryant,HOU,TE,27,8,3,0,0,0,0,0,0,0,NULL,0,6,2,7,3.50,0,0,0,0,NULL,NULL,
Darius Cooper,PHI,WR,24,8,0,0,0,0,0,0,0,0,NULL,0,2,2,7,3.50,0,0,0,0,NULL,NULL,
Josiah Deguara,ARI,TE,28,7,0,0,0,0,0,0,0,0,NULL,0,1,1,6,6.00,0,0,0,0,NULL,NULL,
Payne Durham,TAM,TE,25,12,7,0,0,0,0,0,0,0,NULL,0,3,1,11,11.00,0,0,0,0,NULL,NULL,
Tai Felton,MIN,WR,22,12,0,0,0,0,0,0,0,0,NULL,0,1,1,9,9.00,0,0,0,0,NULL,NULL,
Myles Gaskin,SEA,RB,28,1,0,0,0,0,0,0,3,6,2.00,0,0,0,0,NULL,0,0,0,0,NULL,NULL,
Cam Grandy,CIN,TE,25,3,1,0,0,0,0,0,0,0,NULL,0,1,1,6,6.00,0,1,0,0,NULL,NULL,
Kylen Granson,PHI,TE,27,12,2,0,0,0,0,0,0,0,NULL,0,4,3,10,3.33,0,0,0,0,NULL,NULL,
C.J. Ham,MIN,FB,32,6,0,0,0,0,0,0,0,0,NULL,0,1,1,5,5.00,0,0,0,0,NULL,NULL,
Amar Johnson,LAC,RB,22,2,0,0,0,0,0,0,2,8,4.00,0,1,0,0,NULL,0,0,0,0,NULL,NULL,
D'Ernest Johnson,2TM,RB,29,4,0,0,0,0,0,0,5,7,1.40,0,0,0,0,NULL,0,0,0,0,NULL,NULL,
Mason Kinsey,TEN,WR,27,5,0,0,0,0,0,0,0,0,NULL,0,3,1,14,14.00,0,0,0,0,NULL,NULL,
Chris Manhertz,NYG,TE,33,13,2,0,0,0,0,0,0,0,NULL,0,1,1,7,7.00,0,0,0,0,NULL,NULL,
Scott Miller,PIT,WR,28,8,0,0,0,0,0,0,0,0,NULL,0,2,1,9,9.00,0,0,0,0,NULL,NULL,
Bryce Oliver,TEN,WR,25,2,0,0,0,0,0,0,0,0,NULL,0,1,1,8,8.00,0,0,0,0,NULL,NULL,
Dante Pettis,NOR,WR,30,3,0,0,0,0,0,0,0,0,NULL,0,1,1,14,14.00,0,0,0,0,NULL,NULL,
Anthony Richardson,IND,QB,23,2,0,1,2,9,0,0,4,-1,-0.25,0,1,1,9,9.00,0,0,0,0,NULL,NULL,
Eric Saubert,SEA,TE,31,7,1,0,0,0,0,0,0,0,NULL,0,1,1,12,12.00,0,0,0,0,NULL,NULL,
Jacob Saylors,DET,RB,24,11,0,0,0,0,0,0,2,11,5.50,0,0,0,0,NULL,0,0,0,0,NULL,NULL,
Durham Smythe,CHI,TE,30,12,1,0,0,0,0,0,0,0,NULL,0,4,2,12,6.00,0,0,0,0,NULL,NULL,
Josh Williams,TAM,RB,25,3,0,0,0,0,0,0,4,11,2.75,0,0,0,0,NULL,0,0,0,0,NULL,NULL,
Owen Wright,TAM,RB,26,3,0,0,0,0,0,0,3,6,2.00,0,0,0,0,NULL,0,0,0,0,NULL,NULL,
Ben Yurosek,MIN,TE,23,8,0,0,0,0,0,0,0,0,NULL,0,2,1,5,5.00,0,0,0,0,NULL,NULL,
Kyle Allen,DET,QB,29,3,0,0,2,0,0,0,3,-3,-1.00,0,0,0,0,NULL,0,0,0,0,NULL,NULL,
Kevin Austin,NOR,WR,25,3,0,0,0,0,0,0,0,0,NULL,0,1,0,0,NULL,0,0,0,0,NULL,NULL,
Michael Bandy,DEN,WR,28,2,0,0,0,0,0,0,0,0,NULL,0,1,1,16,16.00,0,1,1,0,NULL,NULL,
Ulysses Bentley,IND,RB,25,1,0,0,0,0,0,0,1,0,0.00,0,0,0,0,NULL,0,0,0,0,NULL,NULL,
Gary Brightwell,CIN,RB,26,2,0,0,0,0,0,0,0,0,NULL,0,0,0,0,NULL,0,0,0,0,NULL,NULL,
Jalen Brooks,DAL,WR,25,1,0,0,0,0,0,0,0,0,NULL,0,0,0,0,NULL,0,0,0,0,NULL,NULL,
Ja'Corey Brooks,WAS,WR,24,1,0,0,0,0,0,0,0,0,NULL,0,0,0,0,NULL,0,0,0,0,NULL,NULL,
Jason Brownlee,KAN,WR,26,5,0,0,0,0,0,0,0,0,NULL,0,1,0,0,NULL,0,0,0,0,NULL,NULL,
Pharaoh Brown,ARI,TE,31,3,1,0,0,0,0,0,0,0,NULL,0,0,0,0,NULL,0,0,0,0,NULL,NULL,
Dalen Cambre,NYG,WR,24,3,0,0,0,0,0,0,0,0,NULL,0,0,0,0,NULL,0,0,0,0,NULL,NULL,
Dalevon Campbell,CAR,WR,24,2,0,0,0,0,0,0,0,0,NULL,0,0,0,0,NULL,0,0,0,0,NULL,NULL,
Parris Campbell,DAL,WR,28,1,0,0,0,0,0,0,0,0,NULL,0,0,0,0,NULL,0,0,0,0,NULL,NULL,
Stephen Carlson,CHI,TE,29,2,0,0,0,0,0,0,0,0,NULL,0,0,0,0,NULL,0,0,0,0,NULL,NULL,
DeAndre Carter,CLE,WR,32,4,0,0,0,0,0,0,0,0,NULL,0,0,0,0,NULL,0,1,0,0,NULL,NULL,
Ty Chandler,MIN,RB,27,1,0,0,0,0,0,0,0,0,NULL,0,0,0,0,NULL,0,0,0,0,NULL,NULL,
Dan Chisena,CAR,WR,28,1,0,0,0,0,0,0,0,0,NULL,0,0,0,0,NULL,0,0,0,0,NULL,NULL,
Efton Chism,NWE,WR,24,6,0,0,0,0,0,0,0,0,NULL,0,0,0,0,NULL,0,0,0,0,NULL,NULL,
Britain Covey,PHI,WR,28,1,0,0,0,0,0,0,0,0,NULL,0,0,0,0,NULL,0,1,0,0,NULL,NULL,
Devin Culp,TAM,TE,25,9,0,0,0,0,0,0,0,0,NULL,0,0,0,0,NULL,0,0,0,0,NULL,NULL,
DeeJay Dallas,CAR,RB,27,3,0,0,0,0,0,0,1,0,0.00,0,0,0,0,NULL,0,0,0,0,NULL,NULL,
Kaden Davis,CLE,WR,27,2,0,0,0,0,0,0,0,0,NULL,0,0,0,0,NULL,0,0,0,0,NULL,NULL,
Joshua Dobbs,NWE,QB,30,2,0,1,2,12,0,0,5,-4,-0.80,0,0,0,0,NULL,0,0,0,0,NULL,NULL,
Devin Duvernay,CHI,WR,28,12,0,0,0,0,0,0,0,0,NULL,0,3,1,2,2.00,0,0,0,0,NULL,NULL,
Ross Dwelley,DET,TE,30,10,1,0,0,0,0,0,0,0,NULL,0,4,1,3,3.00,0,0,0,0,NULL,NULL,
Chase Edmonds,WAS,RB,29,1,0,0,0,0,0,0,0,0,NULL,0,0,0,0,NULL,0,0,0,0,NULL,NULL,
Audric Estime,NOR,RB,22,2,0,0,0,0,0,0,0,0,NULL,0,0,0,0,NULL,0,0,0,0,NULL,NULL,
Princeton Fant,DAL,TE,26,1,0,0,0,0,0,0,0,0,NULL,0,0,0,0,NULL,0,0,0,0,NULL,NULL,
Simi Fehoko,ARI,WR,28,8,0,0,0,0,0,0,0,0,NULL,0,0,0,0,NULL,0,0,0,0,NULL,NULL,
Thomas Fidone,NYG,TE,23,7,0,0,0,0,0,0,0,0,NULL,0,0,0,0,NULL,0,0,0,0,NULL,NULL,
Anthony Firkser,DET,TE,30,2,0,0,0,0,0,0,0,0,NULL,0,1,1,4,4.00,0,0,0,0,NULL,NULL,
Feleipe Franks,ATL,TE,28,12,0,0,0,0,0,0,2,4,2.00,0,0,0,0,NULL,0,0,0,0,NULL,NULL,
Russell Gage,SFO,WR,29,1,0,0,0,0,0,0,0,0,NULL,0,0,0,0,NULL,0,0,0,0,NULL,NULL,
Jimmy Garoppolo,LAR,QB,34,1,0,0,0,0,0,0,3,-3,-1.00,0,0,0,0,NULL,0,0,0,0,NULL,NULL,
Reggie Gilliam,BUF,FB,28,12,2,0,0,0,0,0,0,0,NULL,0,1,1,2,2.00,0,0,0,0,NULL,NULL,
Anthony Gould,IND,WR,24,10,1,0,0,0,0,0,0,0,NULL,0,1,1,3,3.00,0,0,0,0,NULL,NULL,
Eric Gray,NYG,RB,26,2,0,0,0,0,0,0,0,0,NULL,0,0,0,0,NULL,0,0,0,0,NULL,NULL,
Isaac Guerendo,SFO,RB,25,13,0,0,0,0,0,0,0,0,NULL,0,0,0,0,NULL,0,0,0,0,NULL,NULL,
Khalil Herbert,NYJ,RB,27,2,0,0,0,0,0,0,0,0,NULL,0,0,0,0,NULL,0,0,0,0,NULL,NULL,
Nyheim Hines,LAC,RB,29,3,0,0,0,0,0,0,2,-2,-1.00,0,0,0,0,NULL,0,0,0,0,NULL,NULL,
Travis Homer,CHI,RB,27,6,0,0,0,0,0,0,1,-2,-2.00,0,0,0,0,NULL,0,0,0,0,NULL,NULL,
Zach Horton,DET,TE,NULL,1,0,0,0,0,0,0,0,0,NULL,0,0,0,0,NULL,0,0,0,0,NULL,NULL,
Jarquez Hunter,LAR,RB,23,5,0,0,0,0,0,0,0,0,NULL,0,0,0,0,NULL,0,0,0,0,NULL,NULL,
Shedrick Jackson,LVR,WR,26,1,0,0,0,0,0,0,0,0,NULL,0,0,0,0,NULL,0,0,0,0,NULL,NULL,
Jermar Jefferson,ARI,RB,25,2,0,0,0,0,0,0,0,0,NULL,0,0,0,0,NULL,0,0,0,0,NULL,NULL,
E.J. Jenkins,PHI,TE,27,1,0,0,0,0,0,0,0,0,NULL,0,0,0,0,NULL,0,0,0,0,NULL,NULL,
Jakob Johnson,HOU,FB,31,6,2,0,0,0,0,0,0,0,NULL,0,0,0,0,NULL,0,0,0,0,NULL,NULL,
Josh Johnson,WAS,QB,39,2,0,0,0,0,0,0,0,0,NULL,0,0,0,0,NULL,0,0,0,0,NULL,NULL,
Velus Jones Jr.,2TM,WR,28,6,0,0,0,0,0,0,0,0,NULL,0,0,0,0,NULL,0,0,0,0,NULL,NULL,
Nikola Kalinic,CHI,TE,28,1,0,0,0,0,0,0,0,0,NULL,0,0,0,0,NULL,0,0,0,0,NULL,NULL,
